0. Maximum Updated Date,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
0.0 Updated Date Label (From Pipeline job date),,,,,,,,,,,,,,,
Row Labels,,,,,,,,,,,,,,,
2026-01-02,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
0.1 General (Recorded Date),,,,,,,,,,,,,,,
LATEST_DATE,LATEST INDEX,,,,,,,,,,,,,,
12/31/25,17,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
0.2 By Stage,,,,,,,,,,,,,,,
Row Labels,LATEST_DATE,LATEST INDEX,INDEX STAGE,FINAL ROW,,,,,,,,,,,
Not Approved/Withdrawn,9/30/25,20,261,1.52 GW,15.00 GW,0.17 GW,0.90 GW,0.54 M sqft,67.22 M sqft,0.27 M sqft,4 M sqft,,,,
Not Approved/Withdrawn,10/31/25,45,306,2.18 GW,17.19 GW,0.07 GW,0.96 GW,3.58 M sqft,70.8 M sqft,0.26 M sqft,4.25 M sqft,,,,
Not Approved/Withdrawn,11/30/25,2,308,,17.19 GW,,0.96 GW,,70.8 M sqft,,4.25 M sqft,,,,
Not Approved/Withdrawn Total,,308,,17.19 GW,,0.07 GW,,70.8 M sqft,,0.34 M sqft,,,,,
Grand Total,,"5,643",,321.32 GW,,0.06 GW,,"1,088.54 M sqft",,0.25 M sqft,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
2.1. Calculating Growth Rates,,,,,,,,,,,,,,,
STAGE,LATEST UPDATED,TOTAL,SUM POWER MWH,AVG POWER MWH,SUM SQFT,AVG SQFT,GR TOTAL,GR SUM POWER MWH,GR AVG POWER MWH,GR SUM SQFT,GR AVG SQFT,,,,
Active,11/30/25,"1,933",44.30 GW,0.43 GW,282.45 M sqft,2.29 M sqft,-%,-%,-%,-%,-%,,,,
Announcement,12/31/25,"2,712",214.27 GW,1.42 GW,556.02 M sqft,5.4 M sqft,-%,-%,-%,-%,-%,,,,
Cancelled,6/30/25,16,0.97 GW,0.44 GW,3.07 M sqft,0.63 M sqft,-%,-%,-%,-%,-%,,,,
Construction,12/31/25,624,41.63 GW,1.26 GW,159.94 M sqft,5.33 M sqft,-%,-%,-%,-%,-%,,,,
Delayed,10/31/25,50,2.97 GW,0.48 GW,16.25 M sqft,2.38 M sqft,-%,-%,-%,-%,-%,,,,
Not Approved/Withdrawn,11/30/25,308,17.19 GW,0.96 GW,70.8 M sqft,4.25 M sqft,-%,-%,-%,-%,-%,,,,
,,,,,,,,,,,,,,,
,,,,,,Formula,"=IFERROR((OFFSET(A53,E13,3)-OFFSET(A53,E13-1,3))/OFFSET(A53,E13-1,3),1)",,,,,,,,
5. Map Global (Active),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
5.1 Map Global Active (Pivot),,,,,,,,,,,,,,,
DATACENTER_STAGE,Active,,,,,,,,,,,,,,
,,,Active,,,Construction,,,Announcement,,,,,,
STATE_CODE,COUNT,,State,# Facilities,,State,# Facilities,,State,# Facilities,,,,,
AL,16,,AL,16,,AL,6,,AL,33,,,,,
AR,4,,AK,0,,AK,0,,AK,0,,,,,
AZ,81,,AZ,81,,AZ,31,,AZ,126,,,,,
CA,166,,AR,4,,AR,2,,AR,11,,,,,
CO,31,,CA,166,,CA,6,,CA,39,,,,,
CT,7,,CO,31,,CO,6,,CO,9,,,,,
DC,5,,CT,7,,CT,0,,CT,33,,,,,
DE,6,,DE,6,,DE,0,,DE,14,,,,,
FL,53,,DC,5,,DC,0,,DC,0,,,,,
GA,64,,FL,53,,FL,2,,FL,15,,,,,
HI,2,,GA,64,,GA,48,,GA,257,,,,,
IA,56,,HI,2,,HI,0,,HI,0,,,,,
ID,5,,ID,5,,ID,1,,ID,6,,,,,
IL,78,,IL,78,,IL,17,,IL,136,,,,,
IN,26,,IND,26,,IND,23,,IND,84,,,,,
KS,7,,IA,56,,IA,17,,IA,37,,,,,
KY,10,,KS,7,,KS,1,,KS,10,,,,,
LA,10,,KY,10,,KY,2,,KY,26,,,,,
MA,23,,Lousiana,10,,Lousiana,11,,Lousiana,0,,,,,
MD,11,,Maine,4,,Maine,0,,Maine,2,,,,,
ME,4,,MD,11,,MD,12,,MD,8,,,,,
MI,30,,MA,23,,MA,0,,MA,0,,,,,
MN,28,,MI,30,,MI,1,,MI,13,,,,,
MO,26,,MN,28,,MN,4,,MN,39,,,,,
MS,6,,MS,6,,MS,26,,MS,15,,,,,
MT,4,,MO,26,,MO,6,,MO,30,,,,,
NC,42,,MT,4,,MT,0,,MT,21,,,,,
ND,2,,NE,26,,NE,4,,NE,9,,,,,
NE,26,,NV,27,,NV,24,,NV,71,,,,,
NH,6,,NH,6,,NH,0,,NH,0,,,,,
NJ,48,,NJ,48,,NJ,2,,NJ,10,,,,,
NM,12,,NM,12,,NM,4,,NM,53,,,,,
NV,27,,NY,47,,NY,3,,NY,4,,,,,
NY,47,,NC,42,,NC,7,,NC,41,,,,,
OH,99,,North Dakota,2,,North Dakota,2,,North Dakota,10,,,,,
