state,year,sector,electricity_usage
CT,2005,Commercial,13949347
CT,2005,Industrial,5152936
CT,2005,Residential,13802962
CT,2006,Commercial,13611036
CT,2006,Industrial,4925981
CT,2006,Residential,12963468
CT,2007,Commercial,15126055
CT,2007,Industrial,5433393
CT,2007,Residential,13372090
CT,2008,Commercial,13665139
CT,2008,Industrial,4371278
CT,2008,Residential,12729694
CT,2009,Commercial,13257343
CT,2009,Industrial,3692019
CT,2009,Residential,12578225
CT,2010,Commercial,13427698
CT,2010,Industrial,3712952
CT,2010,Residential,13065275
CT,2011,Commercial,13087010
CT,2011,Industrial,3668217
CT,2011,Residential,12918796
CT,2012,Commercial,12976050
CT,2012,Industrial,3565944
CT,2012,Residential,12757633
CT,2013,Commercial,13009103
CT,2013,Industrial,3490140
CT,2013,Residential,13135451
CT,2014,Commercial,12893531
CT,2014,Industrial,3514798
CT,2014,Residential,12777579
CT,2015,Commercial,12958570
CT,2015,Industrial,3432002
CT,2015,Residential,12892862
CT,2016,Commercial,12701264
CT,2016,Industrial,3370068
CT,2016,Residential,12676983
CT,2017,Commercial,12335414
CT,2017,Industrial,3243615
CT,2017,Residential,12379520
CT,2018,Commercial,12381063
CT,2018,Industrial,3209992
CT,2018,Residential,13061372
CT,2019,Commercial,12157788
CT,2019,Industrial,3071792
CT,2019,Residential,12493550
CT,2020,Commercial,11145896
CT,2020,Industrial,2860291
CT,2020,Residential,12981839
CT,2021,Commercial,11701168
CT,2021,Industrial,2799194
CT,2021,Residential,13092128
CT,2022,Commercial,11625823
CT,2022,Industrial,2780106
CT,2022,Residential,13190687
CT,2023,Commercial,11373591
CT,2023,Industrial,2579387
CT,2023,Residential,12553299
CT,2024,Commercial,11662707
CT,2024,Industrial,2555605
CT,2024,Residential,12941903
DC,1990,Commercial,5073157
DC,1990,Industrial,2976219
DC,1990,Residential,1480356
DC,1991,Commercial,5238080
DC,1991,Industrial,3053128
DC,1991,Residential,1580079
DC,1992,Commercial,5226805
DC,1992,Industrial,2987181
DC,1992,Residential,1487974
DC,1993,Commercial,5417566
DC,1993,Industrial,2976390
DC,1993,Residential,1634807
DC,1994,Commercial,8093088
DC,1994,Industrial,267295
DC,1994,Residential,1571539
DC,1995,Commercial,8079035
DC,1995,Industrial,262118
DC,1995,Residential,1608442
DC,1996,Commercial,7904611
DC,1996,Industrial,251644
DC,1996,Residential,1614293
DC,1997,Commercial,7924524
DC,1997,Industrial,262378
DC,1997,Residential,1553682
DC,1998,Commercial,8051297
DC,1998,Industrial,261869
DC,1998,Residential,1595611
DC,1999,Commercial,8146217
DC,1999,Industrial,249201
DC,1999,Residential,1642704
DC,2000,Commercial,8331639
DC,2000,Industrial,272558
DC,2000,Residential,1624101
DC,2001,Commercial,8538825
DC,2001,Industrial,280914
DC,2001,Residential,1698868
DC,2002,Commercial,8645085
DC,2002,Industrial,282397
DC,2002,Residential,1790103
DC,2003,Commercial,8639346
DC,2003,Industrial,267248
DC,2003,Residential,1754304
DC,2004,Commercial,8994298
DC,2004,Industrial,282050
DC,2004,Residential,1834434
DC,2005,Commercial,9295922
DC,2005,Industrial,256447
DC,2005,Residential,1938270
DC,2006,Commercial,9029833
DC,2006,Industrial,239842
DC,2006,Residential,1822110
DC,2007,Commercial,9518790
DC,2007,Industrial,296687
DC,2007,Residential,1969563
DC,2008,Commercial,9131317
DC,2008,Industrial,257046
DC,2008,Residential,1915640
DC,2009,Commercial,8992144
DC,2009,Industrial,234035
DC,2009,Residential,1899655
DC,2010,Commercial,9209486
DC,2010,Industrial,229597
DC,2010,Residential,2123312
DC,2011,Commercial,8965834
DC,2011,Industrial,216244
DC,2011,Residential,2061392
DC,2012,Commercial,8713337
DC,2012,Industrial,218376
DC,2012,Residential,2002527
DC,2013,Commercial,8499143
DC,2013,Industrial,227385
DC,2013,Residential,2033618
DC,2014,Commercial,8548237
DC,2014,Industrial,242149
DC,2014,Residential,2072205
DC,2015,Commercial,8221610
DC,2015,Industrial,238232
DC,2015,Residential,2497559
DC,2016,Commercial,8368479
DC,2016,Industrial,192454
DC,2016,Residential,2501892
DC,2017,Commercial,8006225
DC,2017,Industrial,180183
DC,2017,Residential,2394652
DC,2018,Commercial,8236225
DC,2018,Industrial,192662
DC,2018,Residential,2592242
DC,2019,Commercial,7952305
DC,2019,Industrial,179632
DC,2019,Residential,2546920
DC,2020,Commercial,6814560
DC,2020,Industrial,186344
DC,2020,Residential,2452589
DC,2021,Commercial,7043709
DC,2021,Industrial,239501
DC,2021,Residential,2528049
DC,2022,Commercial,7290077
DC,2022,Industrial,181716
DC,2022,Residential,2519079
DC,2023,Commercial,7030204
DC,2023,Industrial,176489
DC,2023,Residential,2371637
DC,2024,Commercial,7193294
DC,2024,Industrial,187468
DC,2024,Residential,2445805
DE,1990,Commercial,2310713
DE,1990,Industrial,3271592
DE,1990,Residential,2651448
DE,1991,Commercial,2419529
DE,1991,Industrial,3240945
DE,1991,Residential,2824340
DE,1992,Commercial,2445194
DE,1992,Industrial,3248213
DE,1992,Residential,2786231
DE,1993,Commercial,2604586
DE,1993,Industrial,3416811
DE,1993,Residential,3043825
DE,1994,Commercial,2684562
DE,1994,Industrial,3446827
DE,1994,Residential,3107179
DE,1995,Commercial,2842288
DE,1995,Industrial,3511083
DE,1995,Residential,3168325
DE,1996,Commercial,2910775
DE,1996,Industrial,3399404
DE,1996,Residential,3271209
DE,1997,Commercial,3068181
DE,1997,Industrial,3741116
DE,1997,Residential,3257281
DE,1998,Commercial,3226801
DE,1998,Industrial,3779148
DE,1998,Residential,3338949
DE,1999,Commercial,3353041
DE,1999,Industrial,3613390
DE,1999,Residential,3531956
DE,2000,Commercial,4049665
DE,2000,Industrial,3600866
