huc12_id,year,pswdtot_mgd
060101020201,2020,0.0
060101020202,2000,0.0
060101020202,2001,0.0
060101020202,2002,0.0
060101020202,2003,0.0
060101020202,2004,0.0
060101020202,2005,0.0
060101020202,2006,0.0
060101020202,2007,0.0
060101020202,2008,0.0
060101020202,2009,0.0
060101020202,2010,0.0
060101020202,2011,0.0
060101020202,2012,0.0
060101020202,2013,0.0
060101020202,2014,0.0
060101020202,2015,0.0
060101020202,2016,0.0
060101020202,2017,0.0
060101020202,2018,0.0
060101020202,2019,0.0
060101020202,2020,0.0
060101020203,2000,0.0
060101020203,2001,0.0
060101020203,2002,0.0
060101020203,2003,0.0
060101020203,2004,0.0
060101020203,2005,0.0
060101020203,2006,0.0
060101020203,2007,0.0
060101020203,2008,0.0
060101020203,2009,0.0
060101020203,2010,0.0
060101020203,2011,0.0
060101020203,2012,0.0
060101020203,2013,0.0
060101020203,2014,0.0
060101020203,2015,0.0
060101020203,2016,0.0
060101020203,2017,0.0
060101020203,2018,0.0
060101020203,2019,0.0
060101020203,2020,0.0
060101020204,2000,0.0
060101020204,2001,0.0
060101020204,2002,0.0
060101020204,2003,0.0
060101020204,2004,0.0
060101020204,2005,0.0
060101020204,2006,0.0
060101020204,2007,0.0
060101020204,2008,0.0
060101020204,2009,0.0
060101020204,2010,0.0
060101020204,2011,0.0
060101020204,2012,0.0
060101020204,2013,0.0
060101020204,2014,0.0
060101020204,2015,0.0
060101020204,2016,0.0
060101020204,2017,0.0
060101020204,2018,0.0
060101020204,2019,0.0
060101020204,2020,0.0
060101020301,2000,0.308855677
060101020301,2001,0.305684011
060101020301,2002,0.307033381
060101020301,2003,0.293377525
060101020301,2004,0.284143792
060101020301,2005,0.303323511
060101020301,2006,0.29578467
060101020301,2007,0.303110627
060101020301,2008,0.301526672
060101020301,2009,0.266175708
060101020301,2010,0.280202925
060101020301,2011,0.273698816
060101020301,2012,0.27330787
060101020301,2013,0.269229648
060101020301,2014,0.271219436
060101020301,2015,0.258474174
060101020301,2016,0.260714936
060101020301,2017,0.25973291
060101020301,2018,0.264708106
060101020301,2019,0.263408988
